扭矩,钻压 ,回转功率 ,给进功率,回转转速 
7.98,1063,1462,350,400
7.93,1050,1462,346,400
7.95,1044,1462,354,400
8.22,1039,1462,339,400
8.47,1019,1462,343,400
8.5,1041,1462,346,400
8.51,1050,1462,343,400
8.48,1054,1462,343,400
8.26,1072,1462,346,400
8.15,1079,1552,343,399.7
8.08,1073,1552,335,399.7
8.21,1099,1552,335,399.7
8.21,1094,1552,354,399.7
8.25,1074,1552,343,399.7
8.06,1078,1552,343,399.7
8.05,1071,1552,346,399.7
7.86,1047,1552,343,399.7
7.92,1044,1552,335,399.7
8.18,1030,1552,339,399.7
8.46,1013,1560,343,399.9
8.39,1017,1560,339,399.9
8.41,1024,1560,343,399.9
8.34,1023,1560,343,399.9
8.13,1045,1560,343,399.9
8.03,1061,1560,346,399.9
7.98,1053,1560,335,399.9
7.98,1078,1560,343,399.9
8.18,1091,1560,354,399.9
8.31,1080,1560,346,399.9
8.2,1080,1455,343,400.1
8.15,1067,1455,343,400.1
8.1,1045,1455,343,400.1
8.09,1045,1455,339,400.1
8.41,1037,1455,332,400.1
8.65,1021,1455,339,400.1
8.81,1044,1455,343,400.1
8.92,1059,1455,335,400.1
8.85,1061,1455,335,400.1
8.52,1081,1455,339,400.1
8.46,1090,1597,343,399.7
8.42,1096,1597,332,399.7
8.42,1130,1597,346,399.7
8.36,1117,1597,350,399.7
8.3,1090,1597,350,399.7
7.99,1091,1597,343,399.7
7.84,1089,1597,350,399.7
7.69,1075,1597,354,399.7
7.79,1090,1597,343,399.7
8.18,1080,1597,346,399.7
8.53,1072,1522,350,399.9
8.48,1084,1522,346,399.9
8.5,1092,1522,346,399.9
8.34,1085,1522,354,399.9
8.09,1105,1522,357,399.9
8,1101,1522,357,399.9
8.15,1087,1522,354,399.9
8.22,1100,1522,350,399.9
8.31,1108,1522,354,399.9
8.28,1085,1522,350,399.9
8.14,1071,1410,354,400
8.03,1056,1410,346,400
7.88,1048,1410,354,400
7.85,1064,1410,357,400
8.23,1059,1410,346,400
8.57,1047,1410,346,400
8.7,1071,1410,346,400
8.68,1088,1410,339,400
8.54,1083,1410,339,400
8.37,1105,1410,343,400
8.36,1129,1732,332,399.7
8.39,1127,1732,335,399.7
8.5,1146,1732,343,399.7
8.43,1136,1732,328,399.7
8.35,1111,1732,328,399.7
8.14,1125,1732,335,399.7
8.06,1118,1732,324,399.7
7.91,1106,1732,321,399.7
7.95,1113,1732,332,399.7
8.24,1105,1732,321,399.7
8.59,1102,1500,321,399.9
8.72,1108,1500,328,399.9
8.76,1107,1500,313,399.9
8.59,1091,1500,313,399.9
8.44,1118,1500,324,399.9
8.4,1130,1500,324,399.9
8.56,1139,1500,317,399.9
8.62,1137,1500,321,399.9
8.71,1129,1500,321,399.9
8.56,1104,1500,306,399.9
8.42,1109,1552,321,400
8.28,1093,1552,324,400
8.13,1087,1552,313,400
8.01,1098,1552,306,400
8.32,1100,1552,317,400
8.6,1087,1552,317,400
8.71,1098,1552,302,400
8.69,1099,1552,310,400
8.67,1098,1552,313,400
8.47,1128,1552,317,400
8.44,1145,1740,306,399.7
8.55,1137,1740,317,399.7
8.58,1139,1740,317,399.7
8.48,1104,1740,321,399.7
8.38,1078,1740,310,399.7
8.25,1086,1740,313,399.7
8.2,1086,1740,321,399.7
7.96,1074,1740,328,399.7
7.96,1088,1740,317,399.7
8.29,1084,1740,313,399.7
8.6,1083,1597,324,399.8
8.64,1100,1597,321,399.8
8.65,1123,1597,317,399.8
8.48,1119,1597,324,399.8
8.37,1152,1597,335,399.8
8.46,1179,1597,332,399.8
8.71,1182,1597,328,399.8
8.74,1180,1597,328,399.8
8.84,1168,1597,332,399.8
8.75,1150,1597,332,399.8
8.54,1165,1567,324,400
8.41,1150,1567,339,400
8.28,1135,1567,335,400
8.21,1138,1567,328,400
8.59,1123,1567,324,400
8.98,1102,1567,335,400
8.92,1092,1567,332,400
8.86,1073,1567,328,400
8.87,1085,1567,328,400
8.7,1119,1567,332,400
8.65,1151,1665,324,399.7
8.65,1146,1665,321,399.7
8.63,1157,1665,332,399.7
8.52,1136,1665,324,399.7
8.42,1115,1665,317,399.7
8.23,1115,1665,317,399.7
8.16,1124,1665,328,399.7
8.04,1109,1665,313,399.7
8.11,1119,1665,306,399.7
8.46,1104,1665,321,399.7
8.93,1094,1642,313,399.9
8.92,1096,1642,302,399.9
8.9,1108,1642,313,399.9
8.69,1106,1642,313,399.9
8.61,1136,1642,310,399.9
8.65,1152,1642,302,399.9
8.82,1154,1642,313,399.9
8.83,1145,1642,310,399.9
8.81,1134,1642,306,399.9
8.68,1116,1642,313,399.9
8.51,1135,1530,317,400
8.35,1138,1530,313,400
8.26,1141,1530,306,400
8.33,1162,1530,306,400
8.78,1170,1530,310,400
9.15,1154,1530,302,400
9.25,1164,1530,302,400
9.2,1164,1530,306,400
9.17,1160,1530,302,400
8.97,1175,1530,302,400
8.84,1168,1702,306,399.7
8.7,1136,1702,313,399.7
8.68,1132,1702,306,399.7
8.58,1108,1702,306,399.7
8.46,1088,1702,310,399.7
8.3,1107,1702,313,399.7
8.17,1113,1702,313,399.7
7.99,1112,1702,302,399.7
7.99,1132,1702,295,399.7
8.34,1126,1702,310,399.7
8.72,1101,1612,306,399.9
8.62,1108,1612,299,399.9
8.6,1124,1612,310,399.9
8.53,1131,1612,306,399.9
8.54,1163,1612,306,399.9
8.63,1179,1612,306,399.9
8.75,1161,1612,310,399.9
8.7,1138,1612,313,399.9
8.7,1119,1612,302,399.9
8.53,1105,1612,302,399.9
8.41,1119,1500,306,400
8.32,1113,1500,310,400
8.26,1106,1500,306,400
8.31,1113,1500,299,400
8.68,1112,1500,310,400
9.04,1086,1500,317,400
9.13,1101,1500,306,400
9.09,1120,1500,306,400
9.14,1141,1500,313,400
8.94,1172,1500,313,400
8.82,1178,1770,313,399.7
8.77,1153,1770,313,399.7
8.77,1149,1770,313,399.7
8.72,1136,1770,313,399.7
8.65,1115,1770,313,399.7
8.5,1134,1770,317,399.7
8.38,1147,1770,306,399.7
8.18,1152,1770,306,399.7
8.19,1164,1770,306,399.7
8.54,1156,1770,291,399.7
8.86,1128,1515,299,399.9
8.83,1146,1515,291,399.9
8.84,1181,1515,277,399.9
8.81,1205,1515,291,399.9
8.73,1239,1515,284,399.9
8.75,1246,1515,277,399.9
8.83,1221,1515,281,399.9
8.85,1214,1515,277,399.9
8.87,1209,1515,273,399.9
8.73,1195,1515,281,399.9
8.61,1205,1522,281,399.9
8.38,1210,1522,270,399.9
8.36,1208,1522,273,399.9
8.45,1220,1522,277,399.9
8.93,1209,1522,266,399.9
9.26,1184,1522,270,399.9
9.35,1206,1522,270,399.9
9.31,1223,1522,266,399.9
9.33,1229,1522,262,399.9
9.11,1247,1522,270,399.9
8.97,1241,1672,266,399.7
8.8,1218,1672,255,399.7
8.83,1217,1672,270,399.7
8.81,1212,1672,270,399.7
8.73,1198,1672,259,399.7
8.66,1205,1672,270,399.7
8.53,1203,1672,266,399.7
8.28,1203,1672,262,399.7
8.33,1215,1672,255,399.7
8.77,1201,1672,262,399.7
9.1,1172,1560,262,399.9
9.07,1195,1560,251,399.9
9.19,1223,1560,262,399.9
9.25,1240,1560,262,399.9
9.03,1260,1560,255,399.9
8.91,1254,1560,262,399.9
9.02,1223,1560,262,399.9
9.07,1218,1560,259,399.9
9.06,1212,1560,255,399.9
8.89,1196,1560,262,399.9
8.77,1213,1627,266,400
8.66,1220,1627,270,400
8.48,1218,1627,259,400
8.52,1212,1627,259,400
8.89,1196,1627,270,400
9.19,1187,1627,266,400
9.26,1221,1627,262,400
9.29,1242,1627,270,400
9.24,1236,1627,277,400
8.98,1237,1627,281,400
8.88,1232,1680,273,399.7
8.88,1222,1680,273,399.7
8.89,1227,1680,277,399.7
8.85,1219,1680,288,399.7
8.8,1202,1680,288,399.7
8.7,1215,1680,291,399.7
8.64,1214,1680,284,399.7
8.4,1207,1680,284,399.7
8.37,1209,1680,295,399.7
8.78,1193,1680,302,399.7
9.13,1168,1710,288,399.8
9.24,1188,1710,291,399.8
9.42,1221,1710,295,399.8
9.38,1226,1710,299,399.8
9.13,1236,1710,291,399.8
9.02,1232,1710,291,399.8
9.1,1209,1710,291,399.8
9.16,1205,1710,291,399.8
9.12,1192,1710,284,399.8
9,1168,1710,295,399.8
8.88,1185,1597,299,400
8.76,1184,1597,284,400
8.6,1176,1597,284,400
8.4,1178,1597,295,400
8.79,1178,1597,277,400
9.27,1172,1597,288,400
9.43,1206,1597,284,400
9.35,1206,1597,281,400
9.24,1192,1597,284,400
8.9,1202,1597,295,400
8.74,1202,1717,284,399.8
8.66,1181,1717,281,399.8
8.73,1194,1717,281,399.8
8.64,1180,1717,291,399.8
8.63,1168,1717,295,399.8
8.57,1189,1717,299,399.8
8.45,1205,1717,288,399.8
8.21,1194,1717,291,399.8
8.19,1205,1717,299,399.8
8.56,1192,1717,306,399.8
9.04,1181,1620,302,399.9
9.15,1203,1620,291,399.9
9.36,1232,1620,306,399.9
9.34,1237,1620,302,399.9
9.11,1256,1620,291,399.9
8.97,1250,1620,306,399.9
8.98,1234,1620,306,399.9
9.02,1239,1620,295,399.9
8.99,1240,1620,299,399.9
8.87,1225,1620,310,399.9
8.8,1250,1665,306,400
8.68,1246,1665,299,400
8.47,1235,1665,302,400
8.51,1242,1665,302,400
9,1241,1665,299,400
9.55,1221,1665,299,400
9.64,1246,1665,306,400
9.49,1238,1665,302,400
9.33,1223,1665,295,400
9.05,1226,1665,306,400
9.01,1229,1657,295,399.8
8.98,1205,1657,295,399.8
9.17,1219,1657,302,399.8
9.14,1205,1657,306,399.8
9.09,1200,1657,299,399.8
8.9,1209,1657,306,399.8
8.79,1215,1657,302,399.8
8.54,1199,1657,310,399.8
8.46,1222,1657,306,399.8
8.93,1214,1657,299,399.8
9.59,1212,1747,306,399.8
9.7,1237,1747,306,399.8
9.67,1254,1747,306,399.8
9.42,1236,1747,299,399.8
9.1,1247,1747,310,399.8
8.95,1228,1747,306,399.8
8.93,1216,1747,306,399.8
8.94,1208,1747,302,399.8
9,1206,1747,310,399.8
8.88,1207,1747,295,399.8
8.87,1244,1665,295,400
8.74,1244,1665,302,400
8.63,1247,1665,295,400
8.63,1266,1665,288,400
9.02,1263,1665,291,400
9.46,1239,1665,270,400
9.54,1262,1665,284,400
9.43,1257,1665,284,400
9.14,1240,1665,262,400
8.74,1237,1665,273,400
8.63,1244,1725,281,399.7
8.64,1223,1725,270,399.7
8.74,1234,1725,270,399.7
8.71,1223,1725,270,399.7
8.61,1211,1725,270,399.7
8.5,1211,1725,262,399.7
8.46,1219,1725,266,399.7
8.32,1213,1725,270,399.7
8.39,1237,1725,262,399.7
8.95,1253,1725,259,399.7
9.47,1259,1582,270,399.9
9.51,1276,1582,259,399.9
9.52,1282,1582,259,399.9
9.33,1273,1582,262,399.9
9.01,1298,1582,266,399.9
8.89,1304,1582,255,399.9
9.03,1295,1582,259,399.9
9.15,1296,1582,266,399.9
9.21,1290,1582,251,399.9
9.04,1262,1582,248,399.9
8.97,1273,1455,259,400.1
8.83,1261,1455,248,400.1
8.69,1257,1455,248,400.1
8.71,1264,1455,259,400.1
9.24,1262,1455,251,400.1
9.59,1243,1455,248,400.1
9.59,1268,1455,255,400.1
9.48,1253,1455,251,400.1
9.38,1245,1455,248,400.1
9.14,1256,1455,251,400.1
9.09,1270,1747,251,399.7
9.05,1263,1747,248,399.7
9.06,1276,1747,244,399.7
9.09,1269,1747,259,399.7
9.06,1254,1747,262,399.7
8.91,1261,1747,255,399.7
8.77,1265,1747,255,399.7
8.56,1260,1747,259,399.7
8.67,1279,1747,259,399.7
9.24,1280,1747,251,399.7
9.69,1267,1612,262,399.9
9.62,1271,1612,262,399.9
9.67,1267,1612,248,399.9
9.53,1264,1612,255,399.9
9.13,1290,1612,262,399.9
9.01,1288,1612,270,399.9
9.1,1266,1612,270,399.9
9.23,1266,1612,259,399.9
9.31,1263,1612,262,399.9
9.22,1249,1612,273,399.9
9.17,1256,1575,273,400
9.02,1245,1575,270,400
8.95,1255,1575,262,400
9.11,1282,1575,273,400
9.56,1283,1575,277,400
9.71,1243,1575,266,400
9.61,1255,1575,270,400
9.5,1242,1575,277,400
9.46,1242,1575,270,400
9.2,1253,1575,259,400
9.17,1270,1875,262,399.7
9.21,1259,1875,259,399.7
9.29,1269,1875,262,399.7
9.29,1253,1875,255,399.7
9.28,1239,1875,273,399.7
9.12,1239,1875,259,399.7
8.94,1262,1875,259,399.7
8.72,1260,1875,255,399.7
9,1282,1875,262,399.7
9.59,1281,1875,248,399.7
9.97,1276,1717,255,399.8
9.9,1278,1717,262,399.8
9.91,1275,1717,248,399.8
9.71,1266,1717,255,399.8
9.41,1300,1717,262,399.8
9.33,1291,1717,259,399.8
9.47,1284,1717,251,399.8
9.56,1289,1717,255,399.8
9.6,1292,1717,251,399.8
9.43,1277,1717,248,399.8
9.32,1292,1620,259,400
9.19,1289,1620,259,400
9.11,1300,1620,251,400
9.2,1325,1620,255,400
9.55,1319,1620,255,400
9.85,1286,1620,240,400
9.89,1302,1620,251,400
9.86,1301,1620,259,400
9.76,1299,1620,251,400
9.47,1318,1620,244,400
9.42,1332,1710,255,399.7
9.48,1325,1710,259,399.7
9.59,1334,1710,248,399.7
9.53,1318,1710,244,399.7
9.41,1301,1710,259,399.7
9.31,1301,1710,266,399.7
9.43,1311,1710,251,399.7
9.35,1315,1710,248,399.7
9.5,1333,1710,255,399.7
9.92,1315,1710,251,399.7
10.28,1290,1770,244,399.9
10.23,1288,1770,255,399.9
10.19,1295,1770,259,399.9
9.93,1280,1770,251,399.9
9.67,1310,1770,248,399.9
9.58,1317,1770,251,399.9
9.66,1315,1770,255,399.9
9.8,1314,1770,251,399.9
9.84,1307,1770,244,399.9
9.7,1285,1770,259,399.9
9.68,1307,1650,270,400
9.53,1311,1650,259,400
9.4,1320,1650,255,400
9.3,1331,1650,262,400
9.61,1315,1650,255,400
9.85,1274,1650,251,400
9.88,1291,1650,262,400
9.76,1288,1650,255,400
9.7,1294,1650,255,400
9.45,1324,1650,255,400
9.5,1350,1830,259,399.8
9.57,1340,1830,255,399.8
9.61,1339,1830,244,399.8
9.6,1317,1830,251,399.8
9.38,1297,1830,251,399.8
9.19,1312,1830,240,399.8
9.19,1329,1830,244,399.8
9.05,1337,1830,244,399.8
9.08,1356,1830,244,399.8
9.5,1335,1830,237,399.8
9.91,1304,1695,237,399.9
9.9,1312,1695,244,399.9
9.82,1321,1695,229,399.9
9.58,1322,1695,233,399.9
9.36,1346,1695,233,399.9
9.39,1355,1695,226,399.9
9.55,1342,1695,233,399.9
9.72,1334,1695,237,399.9
9.75,1327,1695,233,399.9
9.71,1309,1695,229,399.9
9.61,1334,1755,233,400
9.42,1336,1755,240,400
9.31,1329,1755,233,400
9.26,1321,1755,229,400
9.57,1305,1755,229,400
9.78,1270,1755,229,400
9.82,1286,1755,229,400
9.77,1284,1755,226,400
9.69,1286,1755,240,400
9.37,1315,1755,233,400
9.29,1332,1725,229,399.9
9.33,1321,1725,229,399.9
9.4,1325,1725,233,399.9
9.36,1306,1725,233,399.9
9.24,1294,1725,226,399.9
9.16,1319,1725,237,399.9
9.2,1341,1725,237,399.9
9,1344,1725,229,399.9
9.01,1353,1725,233,399.9
9.45,1337,1725,229,399.9
9.91,1299,1755,226,399.9
9.86,1302,1755,233,399.9
9.8,1315,1755,233,399.9
9.57,1323,1755,229,399.9
9.4,1353,1755,226,399.9
9.44,1370,1755,237,399.9
9.57,1353,1755,233,399.9
9.69,1335,1755,229,399.9
9.74,1314,1755,240,399.9
9.77,1306,1755,240,399.9
9.64,1346,1635,233,400
9.35,1339,1635,237,400
9.04,1311,1635,240,400
9.02,1304,1635,244,400
9.34,1283,1635,237,400
9.6,1258,1635,237,400
9.61,1277,1635,248,400
9.6,1286,1635,248,400
9.52,1294,1635,237,400
9.34,1320,1635,240,400
9.37,1328,1890,251,399.9
9.45,1318,1890,240,399.9
9.52,1329,1890,237,399.9
9.56,1320,1890,248,399.9
9.56,1312,1890,255,399.9
9.47,1336,1890,244,399.9
9.43,1373,1890,248,399.9
9.29,1373,1890,248,399.9
9.32,1383,1890,244,399.9
9.67,1345,1890,233,399.9
9.99,1311,1725,244,399.9
9.9,1320,1725,237,399.9
9.85,1335,1725,229,399.9
9.75,1315,1725,248,399.9
9.65,1339,1725,222,399.9
9.65,1337,1725,233,399.9
9.83,1326,1725,229,399.9
9.89,1316,1725,226,399.9
10,1315,1725,226,399.9
10.09,1312,1725,226,399.9
10.07,1342,1657,222,400
9.79,1339,1657,222,400
9.53,1320,1657,222,400
9.33,1312,1657,218,400
9.69,1322,1657,208,400
10,1303,1657,222,400
10.09,1334,1657,211,400
10.11,1347,1657,215,400
10.14,1366,1657,222,400
10.01,1391,1657,215,400
9.99,1405,1875,211,399.8
9.97,1397,1875,215,399.8
9.93,1396,1875,218,399.8
10.05,1395,1875,218,399.8
10.23,1382,1875,211,399.8
10.19,1396,1875,222,399.8
10.03,1393,1875,226,399.8
9.73,1365,1875,222,399.8
9.68,1360,1875,218,399.8
9.93,1328,1875,211,399.8
10.26,1299,1770,218,399.8
10.19,1307,1770,233,399.8
10.15,1308,1770,226,399.8
10.03,1302,1770,218,399.8
9.93,1328,1770,229,399.8
9.87,1329,1770,218,399.8
9.96,1321,1770,222,399.8
10.13,1316,1770,211,399.8
10.16,1321,1770,229,399.8
10.1,1322,1770,226,399.8
10.02,1344,1740,222,400
9.72,1322,1740,218,400
9.38,1305,1740,226,400
9.15,1305,1740,222,400
9.49,1300,1740,211,400
9.84,1286,1740,222,400
9.93,1310,1740,222,400
9.95,1327,1740,218,400
9.97,1338,1740,208,400
9.76,1358,1740,222,400
9.73,1364,1965,222,399.8
9.68,1353,1965,222,399.8
9.76,1363,1965,215,399.8
10.04,1367,1965,222,399.8
10.13,1368,1965,215,399.8
9.96,1377,1965,222,399.8
9.79,1373,1965,233,399.8
9.44,1352,1965,233,399.8
9.32,1372,1965,218,399.8
9.59,1354,1965,218,399.8
9.94,1341,1725,233,399.8
9.92,1361,1725,211,399.8
10.04,1374,1725,222,399.8
10.02,1370,1725,226,399.8
9.83,1395,1725,208,399.8
9.73,1403,1725,211,399.8
9.92,1399,1725,218,399.8
10.1,1415,1725,208,399.8
10.22,1408,1725,208,399.8
10.15,1400,1725,211,399.8
9.99,1415,1680,200,400
9.65,1405,1680,200,400
9.44,1386,1680,204,400
9.49,1380,1680,186,400
9.89,1374,1680,186,400
10.21,1358,1680,200,400
10.24,1385,1680,186,400
10.24,1391,1680,186,400
10.23,1391,1680,189,400
9.95,1407,1680,182,400
9.89,1413,1762,178,399.9
9.86,1395,1762,182,399.9
9.9,1406,1762,182,399.9
10.06,1406,1762,175,399.9
10.11,1395,1762,186,399.9
9.88,1396,1762,186,399.9
9.7,1382,1762,182,399.9
9.45,1371,1762,175,399.9
9.44,1381,1762,189,399.9
9.8,1364,1762,178,399.9
10.24,1353,1845,178,399.8
10.18,1385,1845,178,399.8
10.14,1404,1845,175,399.8
10.16,1402,1845,167,399.8
10.02,1412,1845,171,399.8
9.92,1411,1845,164,399.8
10.06,1406,1845,167,399.8
10.2,1426,1845,171,399.8
10.41,1421,1845,167,399.8
10.25,1395,1845,164,399.8
10.06,1394,1762,175,400
9.84,1386,1762,175,400
9.67,1369,1762,167,400
9.61,1368,1762,149,400
9.99,1356,1762,167,400
10.33,1348,1762,164,400
10.33,1363,1762,160,400
10.34,1377,1762,167,400
10.39,1384,1762,171,400
10.08,1406,1762,160,400
9.82,1417,1830,160,399.8
9.72,1417,1830,175,399.8
9.89,1427,1830,171,399.8
10.16,1420,1830,167,399.8
10.13,1409,1830,178,399.8
9.88,1404,1830,178,399.8
9.76,1399,1830,175,399.8
9.53,1385,1830,171,399.8
9.45,1391,1830,182,399.8
9.74,1367,1830,182,399.8
10.15,1354,1807,178,399.9
10.2,1376,1807,175,399.9
10.19,1404,1807,182,399.9
10.1,1398,1807,182,399.9
9.92,1409,1807,182,399.9
9.76,1405,1807,175,399.9
9.9,1412,1807,182,399.9
10.03,1431,1807,193,399.9
10.24,1434,1807,193,399.9
10.05,1411,1807,186,399.9
9.82,1410,1800,193,400
9.6,1385,1800,197,400
9.54,1367,1800,186,400
9.54,1376,1800,182,400
9.9,1373,1800,189,400
10.21,1357,1800,189,400
10.22,1376,1800,182,400
10.15,1384,1800,182,400
10.07,1374,1800,189,400
9.77,1385,1800,186,400
9.71,1405,1935,178,399.8
9.74,1403,1935,182,399.8
9.99,1411,1935,178,399.8
10.19,1389,1935,171,399.8
10.13,1369,1935,182,399.8
9.83,1371,1935,186,399.8
9.69,1373,1935,178,399.8
9.53,1355,1935,182,399.8
9.55,1366,1935,182,399.8
9.91,1350,1935,171,399.8
10.37,1345,1830,175,399.9
10.47,1368,1830,182,399.9
10.46,1392,1830,182,399.9
10.35,1393,1830,182,399.9
10.17,1421,1830,178,399.9
9.99,1433,1830,182,399.9
10.19,1438,1830,193,399.9
10.31,1435,1830,189,399.9
10.42,1418,1830,189,399.9
10.19,1394,1830,189,399.9
9.98,1408,1830,197,400
9.83,1399,1830,200,400
9.8,1395,1830,197,400
9.77,1408,1830,182,400
10.23,1413,1830,197,400
10.65,1407,1830,193,400
10.61,1433,1830,189,400
10.43,1438,1830,186,400
10.32,1430,1830,200,400
10.1,1449,1830,204,400
10.22,1481,1890,189,399.7
10.36,1482,1890,193,399.7
10.4,1478,1890,200,399.7
10.4,1440,1890,193,399.7
10.33,1415,1890,197,399.7
10.09,1410,1890,193,399.7
9.9,1404,1890,197,399.7
9.64,1376,1890,204,399.7
9.71,1383,1890,208,399.7
10.06,1370,1890,193,399.7
10.49,1372,1762,200,399.8
10.43,1385,1762,200,399.8
10.36,1400,1762,197,399.8
10.16,1396,1762,189,399.8
10.02,1436,1762,204,399.8
9.96,1445,1762,208,399.8
10.18,1433,1762,193,399.8
10.3,1417,1762,197,399.8
10.28,1402,1762,200,399.8
9.97,1372,1762,208,399.8
9.75,1387,1710,197,400
9.6,1375,1710,197,400
9.6,1380,1710,204,400
9.59,1390,1710,204,400
9.96,1408,1710,186,400
10.26,1402,1710,193,400
10.18,1421,1710,193,400
9.93,1411,1710,200,400
9.72,1406,1710,186,400
9.45,1423,1710,189,400
9.58,1455,1807,189,399.8
9.77,1438,1807,193,399.8
9.93,1424,1807,178,399.8
9.98,1387,1807,193,399.8
9.82,1365,1807,186,399.8
9.54,1370,1807,178,399.8
9.38,1376,1807,182,399.8
9.19,1360,1807,164,399.8
9.17,1370,1807,167,399.8
9.56,1362,1807,164,399.8
10.07,1365,1755,153,399.8
10.08,1385,1755,160,399.8
9.95,1403,1755,160,399.8
9.9,1411,1755,138,399.8
9.8,1451,1755,164,399.8
9.77,1459,1755,164,399.8
9.87,1443,1755,156,399.8
10.07,1434,1755,156,399.8
10.15,1421,1755,156,399.8
10.01,1406,1755,145,399.8
9.89,1417,1672,160,400
9.74,1404,1672,156,400
9.52,1399,1672,149,400
9.4,1416,1672,145,400
9.81,1426,1672,153,400
10.23,1407,1672,149,400
10.21,1425,1672,138,400
10.05,1426,1672,149,400
10.1,1421,1672,142,400
10.07,1447,1672,138,400
10.19,1469,1837,142,399.7
10.19,1459,1837,149,399.7
10.23,1453,1837,142,399.7
10.11,1421,1837,142,399.7
9.88,1399,1837,153,399.7
9.65,1404,1837,149,399.7
9.55,1411,1837,149,399.7
9.29,1399,1837,142,399.7
9.28,1409,1837,149,399.7
9.6,1395,1837,142,399.7
10.06,1375,1822,138,399.9
10.01,1385,1822,149,399.9
9.91,1408,1822,138,399.9
10.01,1419,1822,149,399.9
10.02,1454,1822,142,399.9
9.9,1455,1822,149,399.9
9.96,1418,1822,149,399.9
10.04,1409,1822,156,399.9
10.08,1395,1822,153,399.9
9.93,1360,1822,149,399.9
9.79,1362,1777,160,399.9
9.68,1356,1777,164,399.9
9.67,1358,1777,156,399.9
9.59,1370,1777,149,399.9
9.88,1371,1777,156,399.9
10.16,1344,1777,164,399.9
10.1,1369,1777,164,399.9
10,1376,1777,153,399.9
10.08,1389,1777,167,399.9
10.04,1420,1777,171,399.9
10.07,1437,1912,167,399.8
10.08,1421,1912,160,399.8
10.17,1424,1912,175,399.8
10.17,1405,1912,160,399.8
10.08,1396,1912,160,399.8
9.77,1400,1912,175,399.8
9.65,1404,1912,178,399.8
9.53,1394,1912,164,399.8
9.64,1415,1912,160,399.8
9.95,1400,1912,164,399.8
10.35,1384,1845,153,399.9
10.23,1394,1845,156,399.9
10.19,1422,1845,164,399.9
10.23,1419,1845,160,399.9
10.15,1450,1845,153,399.9
9.99,1434,1845,160,399.9
10.05,1408,1845,164,399.9
10.12,1392,1845,153,399.9
10.16,1387,1845,149,399.9
9.87,1372,1845,164,399.9
9.67,1389,1747,160,399.9
9.54,1373,1747,153,399.9
9.5,1368,1747,167,399.9
9.44,1378,1747,164,399.9
9.75,1373,1747,149,399.9
10.12,1346,1747,149,399.9
10.13,1367,1747,156,399.9
10.15,1381,1747,164,399.9
10.18,1396,1747,153,399.9
9.91,1416,1747,167,399.9
9.88,1419,1957,171,399.8
10,1393,1957,164,399.8
10.02,1392,1957,164,399.8
9.93,1375,1957,167,399.8
9.84,1367,1957,167,399.8
9.66,1380,1957,167,399.8
9.59,1383,1957,164,399.8
9.5,1381,1957,171,399.8
9.53,1394,1957,171,399.8
9.75,1384,1957,160,399.8
10.1,1371,1702,160,399.8
10.14,1392,1702,167,399.8
10.15,1410,1702,167,399.8
10.16,1409,1702,156,399.8
10.02,1426,1702,156,399.8
9.83,1422,1702,164,399.8
9.9,1395,1702,167,399.8
9.96,1386,1702,160,399.8
10.09,1376,1702,156,399.8
9.95,1374,1702,160,399.8
9.88,1391,1657,160,400
9.77,1387,1657,164,400
9.78,1384,1657,164,400
9.67,1387,1657,160,400
9.91,1383,1657,156,400
10.2,1351,1657,160,400
10.31,1377,1657,164,400
10.35,1403,1657,153,400
10.38,1416,1657,156,400
10.14,1429,1657,164,400
10.14,1434,1912,156,399.8
10.21,1410,1912,153,399.8
10.29,1415,1912,153,399.8
10.2,1395,1912,160,399.8
10.13,1380,1912,164,399.8
9.92,1392,1912,153,399.8
9.86,1402,1912,160,399.8
9.71,1400,1912,167,399.8
9.69,1415,1912,156,399.8
9.87,1398,1912,156,399.8
10.31,1403,1717,164,399.7
10.36,1441,1717,153,399.7
10.37,1463,1717,153,399.7
10.27,1440,1717,156,399.7
10.06,1450,1717,138,399.7
9.94,1438,1717,145,399.7
10.11,1423,1717,149,399.7
10.21,1418,1717,138,399.7
10.42,1408,1717,142,399.7
10.21,1389,1717,142,399.7
10.05,1407,1785,138,400
9.95,1403,1785,131,400
9.93,1400,1785,142,400
9.79,1403,1785,135,400
10.06,1403,1785,124,400
10.26,1388,1785,135,400
10.33,1425,1785,127,400
10.33,1444,1785,120,400
10.39,1453,1785,135,400
10.17,1453,1785,131,400
10.13,1449,2070,127,399.7
10.16,1435,2070,131,399.7
10.19,1442,2070,120,399.7
10.19,1433,2070,116,399.7
10.15,1425,2070,131,399.7
9.99,1438,2070,131,399.7
9.95,1455,2070,131,399.7
9.84,1445,2070,127,399.7
9.88,1449,2070,131,399.7
10.15,1431,2070,138,399.7
10.61,1445,1732,131,399.7
10.61,1484,1732,124,399.7
10.56,1492,1732,135,399.7
10.37,1469,1732,131,399.7
10.14,1486,1732,120,399.7
9.99,1474,1732,127,399.7
10.13,1463,1732,135,399.7
10.17,1462,1732,127,399.7
10.31,1451,1732,127,399.7
10.2,1439,1732,131,399.7
10.03,1458,1755,135,400.1
9.88,1454,1755,127,400.1
9.85,1449,1755,131,400.1
9.83,1455,1755,131,400.1
10.29,1463,1755,116,400.1
10.63,1449,1755,127,400.1
